id,Sex,Length,Diameter,Height,Whole weight,Whole weight.1,Whole weight.2,Shell weight,Rings
0,F,0.55,0.43,0.15,0.7715,0.3285,0.1465,0.24,11
1,F,0.63,0.49,0.145,1.13,0.458,0.2765,0.32,11
2,I,0.16,0.11,0.025,0.021,0.0055,0.003,0.005,6
3,M,0.595,0.475,0.15,0.9145,0.3755,0.2055,0.25,10
4,I,0.555,0.425,0.13,0.782,0.3695,0.16,0.1975,9
5,F,0.61,0.48,0.17,1.201,0.5335,0.3135,0.3085,10
6,M,0.415,0.325,0.11,0.3315,0.1655,0.0715,0.13,9
7,F,0.61,0.49,0.15,1.1165,0.4955,0.2945,0.295,9
8,I,0.205,0.15,0.04,0.046,0.0145,0.0105,0.01,4
9,I,0.565,0.425,0.125,0.651,0.3795,0.142,0.18,8
10,M,0.485,0.39,0.135,0.6335,0.3035,0.165,0.2,8
11,M,0.605,0.5,0.185,1.218,0.5885,0.2705,0.31,11
12,F,0.595,0.475,0.145,0.9085,0.3605,0.1765,0.265,15
13,I,0.44,0.345,0.11,0.4495,0.175,0.0945,0.1365,7
14,I,0.555,0.435,0.145,0.7905,0.3495,0.1815,0.2425,10
15,F,0.59,0.44,0.185,1.0195,0.4005,0.2465,0.265,11
16,I,0.335,0.25,0.09,0.1965,0.096,0.054,0.055,8
17,M,0.675,0.545,0.18,1.633,0.741,0.339,0.485,12
18,I,0.5,0.36,0.105,0.494,0.2385,0.1055,0.13,8
19,M,0.305,0.215,0.1,0.224,0.0865,0.0345,0.07,7
20,I,0.505,0.385,0.125,0.6095,0.2755,0.1435,0.165,8
21,F,0.55,0.44,0.14,0.8785,0.425,0.1685,0.2325,9
22,M,0.57,0.46,0.175,1.3695,0.6,0.268,0.35,10
23,M,0.495,0.385,0.135,0.6765,0.261,0.1375,0.205,10
24,F,0.575,0.435,0.145,0.7955,0.3885,0.1925,0.22,9
25,M,0.58,0.46,0.15,0.8145,0.3935,0.1785,0.246,8
26,I,0.5,0.385,0.135,0.6075,0.2765,0.1245,0.171,8
27,M,0.645,0.525,0.175,1.489,0.5985,0.3315,0.4,20
28,I,0.18,0.11,0.04,0.0315,0.0105,0.0065,0.005,4
29,M,0.58,0.45,0.165,1.0425,0.3745,0.2075,0.455,20
30,I,0.355,0.27,0.08,0.204,0.25,0.046,0.0595,7
31,I,0.495,0.375,0.125,0.5185,0.241,0.1035,0.16,9
32,M,0.47,0.375,0.14,0.5785,0.2185,0.1295,0.185,12
33,I,0.395,0.31,0.09,0.2425,0.1,0.0635,0.088,8
34,I,0.58,0.45,0.14,0.9165,0.3875,0.1615,0.275,10
35,F,0.59,0.46,0.16,0.964,0.419,0.2145,0.265,9
36,M,0.18,0.125,0.04,0.0275,0.011,0.0095,0.008,4
37,F,0.605,0.475,0.175,1.2415,0.5305,0.3065,0.34,17
38,M,0.515,0.39,0.125,0.5175,0.2655,0.096,0.1435,9
39,I,0.36,0.27,0.09,0.1855,0.08,0.0415,0.065,6
40,I,0.29,0.21,0.075,0.1425,0.0565,0.0275,0.04,6
41,I,0.47,0.34,0.105,0.3675,0.143,0.108,0.1,7
42,I,0.385,0.305,0.085,0.252,0.1065,0.055,0.08,7
43,M,0.525,0.39,0.135,0.7835,0.3135,0.1645,0.1845,9
44,M,0.52,0.385,0.14,0.7275,0.343,0.1625,0.19,10
45,I,0.29,0.21,0.075,0.116,0.05,0.036,0.034,6
46,I,0.55,0.43,0.155,0.7165,0.3445,0.1835,0.223,8
47,M,0.635,0.545,0.18,1.3725,0.573,0.3445,0.39,13
48,I,0.515,0.4,0.145,0.7555,0.41,0.1745,0.169,7
49,F,0.58,0.465,0.17,1.2435,0.4475,0.2425,0.38,14
50,I,0.47,0.375,0.12,0.5395,0.2595,0.1165,0.16,9
51,F,0.615,0.47,0.14,1.0595,0.5305,0.236,0.27,9
52,I,0.455,0.345,0.12,0.4425,0.192,0.081,0.13,8
53,M,0.545,0.435,0.155,0.8445,0.3485,0.1955,0.32,13
54,M,0.49,0.395,0.125,0.6605,0.2675,0.1345,0.185,13
55,M,0.505,0.4,0.14,0.7665,0.3345,0.1625,0.169,9
56,F,0.48,0.38,0.105,0.515,0.224,0.132,0.165,10
57,I,0.435,0.345,0.11,0.4155,0.1645,0.091,0.13,9
58,M,0.575,0.45,0.155,0.9335,0.4165,0.1605,0.275,10
59,I,0.33,0.255,0.095,0.1785,0.0655,0.037,0.055,7
60,F,0.63,0.485,0.16,1.2435,0.5635,0.3045,0.3,10
61,F,0.615,0.475,0.13,1.0375,0.3865,0.262,0.33,14
62,M,0.725,0.565,0.205,1.926,0.959,0.38,0.44,11
63,F,0.585,0.46,0.165,0.9705,0.4535,0.2275,0.245,9
64,I,0.295,0.22,0.08,0.121,0.0505,0.029,0.027,5
65,I,0.41,0.32,0.09,0.34,0.192,0.0655,0.082,6
66,M,0.535,0.405,0.14,0.764,0.347,0.1605,0.201,9
67,F,0.55,0.425,0.15,1.0025,0.54,0.1705,0.24,9
68,I,0.525,0.4,0.14,0.7365,0.3055,0.1435,0.21,9
69,M,0.695,0.565,0.235,1.8985,0.797,0.3835,0.4385,10
70,F,0.535,0.42,0.155,0.8705,0.3155,0.2145,0.235,12
71,I,0.485,0.37,0.12,0.547,0.216,0.1085,0.1785,8
72,I,0.475,0.375,0.115,0.501,0.2025,0.1165,0.165,8
73,M,0.68,0.53,0.175,1.5175,0.7765,0.3675,0.405,11
74,I,0.46,0.345,0.11,0.365,0.16,0.0885,0.105,9
75,M,0.655,0.52,0.175,1.5265,0.7365,0.3075,0.3925,11
76,F,0.555,0.43,0.13,0.874,0.3595,0.1725,0.22,9
77,I,0.335,0.25,0.075,0.18,0.0775,0.0335,0.037,5
78,F,0.58,0.49,0.175,1.017,0.4415,0.2365,0.365,13
79,F,0.585,0.53,0.16,1.054,0.3895,0.1905,0.375,23
80,I,0.58,0.45,0.135,0.8115,0.4035,0.1755,0.235,12
81,I,0.53,0.395,0.125,0.6445,0.3155,0.1235,0.185,9
82,I,0.48,0.38,0.125,0.5605,0.248,0.12,0.16,9
83,M,0.165,0.125,0.055,0.011,0.0045,0.005,0.0015,5
84,I,0.29,0.19,0.055,0.0655,0.027,0.0215,0.02,5
85,I,0.45,0.33,0.11,0.393,0.163,0.062,0.111,7
86,M,0.495,0.375,0.115,0.5415,0.2595,0.086,0.1325,7
87,I,0.295,0.22,0.065,0.14,0.0565,0.013,0.035,6
88,I,0.275,0.22,0.07,0.1385,0.056,0.0285,0.0265,5
89,F,0.575,0.47,0.16,1.1255,0.53,0.222,0.29,9
90,M,0.61,0.495,0.19,1.3315,0.5815,0.3025,0.385,12
91,I,0.47,0.355,0.125,0.4935,0.2375,0.11,0.1535,8
92,M,0.51,0.4,0.135,0.7045,0.3525,0.159,0.185,7
93,I,0.17,0.15,0.035,0.021,0.0065,0.0085,0.005,4
94,M,0.645,0.515,0.175,1.58,0.5265,0.336,0.44,12
95,F,0.505,0.405,0.135,0.959,0.2555,0.2245,0.2535,14
96,I,0.42,0.325,0.1,0.366,0.174,0.0825,0.0975,8
97,M,0.625,0.49,0.15,1.1835,0.5785,0.2355,0.2885,9
98,F,0.465,0.355,0.12,0.5225,0.2735,0.0985,0.1575,8
99,F,0.605,0.495,0.19,1.1845,0.469,0.271,0.39,10
100,I,0.48,0.365,0.125,0.5805,0.2465,0.1255,0.16,8
101,I,0.35,0.27,0.085,0.1755,0.078,0.036,0.066,5
102,I,0.34,0.255,0.09,0.1725,0.073,0.0265,0.0635,6
103,F,0.58,0.43,0.155,0.8395,0.3275,0.1835,0.26,13
104,F,0.5,0.4,0.14,0.6605,0.2505,0.12,0.1685,9
105,F,0.49,0.39,0.13,0.5915,0.2065,0.1155,0.18,10
106,M,0.615,0.465,0.15,0.945,0.4455,0.2045,0.29,9
107,I,0.205,0.185,0.055,0.0235,0.0075,0.005,0.01,3
108,I,0.415,0.31,0.1,0.2805,0.1125,0.0575,0.0925,8
109,F,0.6,0.475,0.17,1.2915,0.581,0.2775,0.3765,9
110,I,0.375,0.28,0.095,0.2745,0.1265,0.042,0.067,6
111,I,0.295,0.21,0.075,0.1275,0.0385,0.0185,0.0215,3
112,M,0.565,0.44,0.145,0.9185,0.438,0.1875,0.2965,10
113,F,0.6,0.495,0.18,1.29,0.618,0.27,0.325,12
114,M,0.695,0.525,0.19,1.711,0.8665,0.4095,0.4195,11
115,I,0.25,0.18,0.065,0.0735,0.0235,0.018,0.02,5
116,I,0.29,0.205,0.07,0.106,0.0335,0.0185,0.03,6
117,F,0.58,0.45,0.13,0.8255,0.3795,0.1825,0.22,8
118,I,0.53,0.42,0.135,0.6335,0.2845,0.1315,0.22,9
119,M,0.535,0.43,0.16,0.9685,0.3935,0.178,0.275,10
120,F,0.58,0.45,0.145,0.9765,0.4525,0.1845,0.265,10
121,F,0.6,0.48,0.175,1.2905,0.6235,0.271,0.32,10
122,F,0.585,0.455,0.16,0.97,0.4315,0.2325,0.375,10
123,F,0.66,0.545,0.17,1.6115,0.732,0.3235,0.37,9
124,M,0.54,0.415,0.14,0.8965,0.3175,0.129,0.355,22
125,F,0.45,0.35,0.115,0.4305,0.2025,0.0775,0.115,8
126,I,0.435,0.31,0.11,0.3975,0.1875,0.077,0.105,8
127,I,0.535,0.39,0.14,0.783,0.3735,0.1715,0.195,8
128,M,0.49,0.38,0.125,0.5805,0.2265,0.1325,0.1885,9
129,I,0.485,0.37,0.11,0.5365,0.2855,0.096,0.1325,8
130,F,0.485,0.38,0.135,0.559,0.2265,0.1205,0.1855,8
131,F,0.565,0.45,0.145,0.8915,0.3305,0.1925,0.238,10
132,F,0.55,0.45,0.175,0.9155,0.3465,0.1905,0.26,12
133,F,0.61,0.475,0.175,1.107,0.4605,0.2425,0.31,9
134,I,0.47,0.36,0.1,0.516,0.252,0.124,0.16,8
135,M,0.575,0.47,0.13,0.9555,0.3735,0.185,0.275,13
136,M,0.585,0.46,0.165,1.099,0.4905,0.2145,0.345,10
137,M,0.615,0.475,0.165,1.0425,0.4105,0.2035,0.325,10
138,I,0.53,0.43,0.13,0.6395,0.2945,0.1295,0.2135,8
139,F,0.52,0.415,0.15,0.6435,0.2615,0.148,0.25,12
140,M,0.665,0.505,0.185,1.5275,0.59,0.368,0.38,10
141,M,0.55,0.43,0.125,0.832,0.4025,0.173,0.21,9
142,F,0.575,0.45,0.155,0.938,0.4695,0.1955,0.29,10
143,F,0.575,0.445,0.165,0.9685,0.4005,0.195,0.27,14
144,M,0.6,0.5,0.19,1.2715,0.4805,0.288,0.3755,13
145,F,0.46,0.355,0.12,0.4435,0.165,0.093,0.185,11
146,I,0.45,0.345,0.105,0.4665,0.2485,0.1015,0.115,7
147,F,0.57,0.465,0.155,1.01,0.447,0.2285,0.29,9
148,F,0.55,0.425,0.115,0.745,0.2595,0.183,0.23,13
149,M,0.54,0.42,0.145,0.764,0.3165,0.1495,0.18,9
150,F,0.675,0.53,0.185,1.9485,0.9455,0.3525,0.45,14
151,I,0.335,0.25,0.08,0.1475,0.0655,0.0385,0.05,5
152,F,0.58,0.445,0.14,0.8255,0.3745,0.2195,0.2195,8
153,F,0.585,0.455,0.165,0.998,0.345,0.2325,0.315,17
154,M,0.335,0.285,0.095,0.253,0.11,0.056,0.075,6
155,F,0.42,0.34,0.115,0.406,0.1635,0.0655,0.115,10
156,M,0.635,0.475,0.16,1.0295,0.4655,0.2225,0.32,10
157,F,0.53,0.41,0.135,0.741,0.346,0.1575,0.194,8
158,M,0.56,0.44,0.135,0.9425,0.4235,0.199,0.28,12
159,M,0.595,0.465,0.15,1.153,0.5305,0.247,0.277,9
160,M,0.56,0.44,0.135,0.8115,0.3415,0.1855,0.23,9
161,I,0.47,0.34,0.11,0.4195,0.18,0.0925,0.118,8
162,I,0.455,0.345,0.115,0.4665,0.2025,0.0945,0.1365,9
163,F,0.585,0.46,0.16,1.053,0.5405,0.2195,0.27,9
164,I,0.31,0.225,0.075,0.1255,0.0585,0.028,0.0365,6
165,F,0.535,0.415,0.15,0.873,0.3195,0.1885,0.27,13
166,F,0.545,0.43,0.15,0.832,0.3525,0.179,0.21,8
167,I,0.295,0.21,0.07,0.1075,0.045,0.0275,0.035,5
168,M,0.5,0.385,0.125,0.5765,0.2715,0.112,0.175,8
169,M,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,8
170,M,0.6,0.475,0.19,1.1035,0.4475,0.2815,0.34,14
171,I,0.6,0.48,0.14,0.9175,0.38,0.2225,0.29,9
172,F,0.6,0.475,0.16,1.218,0.5305,0.2975,0.33,11
173,M,0.47,0.375,0.125,0.5015,0.2455,0.1215,0.16,8
174,M,0.575,0.45,0.14,0.906,0.38,0.1325,0.26,14
175,M,0.565,0.45,0.145,0.908,0.3345,0.2,0.29,13
176,M,0.59,0.455,0.145,1.09,0.5305,0.2295,0.315,11
177,F,0.605,0.475,0.17,1.0855,0.469,0.2565,0.3445,10
178,I,0.355,0.27,0.09,0.2365,0.092,0.05,0.065,6
179,I,0.45,0.345,0.085,0.3685,0.1595,0.0795,0.125,8
180,F,0.725,0.575,0.195,1.551,0.7105,0.3685,0.5,11
181,M,0.565,0.44,0.135,0.728,0.302,0.1575,0.26,10
182,I,0.385,0.29,0.095,0.286,0.1305,0.061,0.082,8
183,I,0.295,0.22,0.08,0.1295,0.057,0.0235,0.038,5
184,I,0.45,0.33,0.11,0.4335,0.167,0.0755,0.13,8
185,F,0.58,0.455,0.15,0.9955,0.3965,0.247,0.26,10
186,M,0.565,0.46,0.15,0.9605,0.4415,0.1835,0.2775,9
187,I,0.315,0.25,0.075,0.1405,0.0615,0.027,0.031,6
188,I,0.48,0.36,0.11,0.462,0.2405,0.083,0.1405,8
189,F,0.605,0.495,0.19,1.129,0.4385,0.224,0.36,13
190,I,0.38,0.3,0.09,0.247,0.1225,0.044,0.075,8
191,M,0.56,0.43,0.16,0.8415,0.3965,0.1855,0.2525,11
192,I,0.29,0.215,0.065,0.1275,0.054,0.028,0.035,6
193,M,0.585,0.47,0.155,0.9555,0.3665,0.167,0.275,10
194,M,0.66,0.535,0.18,1.539,0.566,0.2875,0.4085,10
195,I,0.27,0.195,0.065,0.101,0.0485,0.0245,0.036,6
196,M,0.575,0.44,0.155,0.8295,0.3545,0.1715,0.25,11
197,I,0.46,0.345,0.11,0.4385,0.1895,0.07,0.12,8
198,I,0.375,0.295,0.095,0.237,0.1075,0.046,0.08,6
199,F,0.575,0.44,0.14,0.966,0.4555,0.1805,0.22,8
200,I,0.32,0.24,0.09,0.1915,0.096,0.03,0.0325,6
201,M,0.68,0.54,0.185,1.741,0.7665,0.3255,0.4685,11
202,I,0.28,0.21,0.075,0.1145,0.0515,0.0185,0.035,5
203,I,0.445,0.335,0.125,0.384,0.163,0.0835,0.1235,8
204,I,0.27,0.195,0.095,0.1095,0.037,0.031,0.031,7
205,F,0.545,0.405,0.13,0.957,0.4835,0.1825,0.195,9
206,F,0.425,0.325,0.105,0.4335,0.188,0.0915,0.105,9
207,I,0.425,0.325,0.1,0.3555,0.1335,0.0505,0.105,7
208,I,0.465,0.355,0.14,0.4385,0.1685,0.0835,0.14,11
209,F,0.435,0.335,0.1,0.406,0.1655,0.086,0.11,8
210,F,0.53,0.415,0.13,0.6915,0.3165,0.171,0.228,13
211,M,0.695,0.55,0.2,1.7265,0.6725,0.391,0.45,11
212,M,0.645,0.49,0.165,1.383,0.6785,0.2865,0.41,10
213,F,0.575,0.46,0.135,0.92,0.3345,0.2275,0.2505,12
214,M,0.565,0.44,0.135,0.723,0.34,0.142,0.22,9
215,F,0.58,0.445,0.175,1.089,0.4335,0.2745,0.335,10
216,M,0.37,0.275,0.085,0.2485,0.111,0.0465,0.0725,8
217,F,0.575,0.45,0.145,1.0145,0.3865,0.2105,0.25,11
218,F,0.45,0.35,0.11,0.4545,0.2115,0.0945,0.15,8
219,I,0.385,0.29,0.09,0.237,0.1205,0.0485,0.075,7
220,M,0.565,0.455,0.165,0.955,0.3555,0.1935,0.274,11
221,F,0.565,0.445,0.155,0.906,0.3395,0.2035,0.285,12
222,M,0.555,0.425,0.145,0.936,0.336,0.1925,0.34,11
223,F,0.63,0.515,0.19,1.403,0.5145,0.3165,0.47,14
224,M,0.55,0.415,0.14,0.873,0.3695,0.1725,0.245,14
225,I,0.485,0.375,0.12,0.5185,0.2605,0.0985,0.159,9
226,M,0.62,0.475,0.15,0.9065,0.41,0.2075,0.25,9
227,F,0.6,0.475,0.16,1.0465,0.48,0.2195,0.29,9
228,M,0.555,0.445,0.13,0.869,0.3485,0.1715,0.2495,9
229,M,0.605,0.48,0.15,1.1345,0.4335,0.262,0.335,13
230,M,0.53,0.425,0.155,0.7395,0.3165,0.1535,0.27,10
231,M,0.64,0.505,0.175,1.5105,0.75,0.3725,0.3605,11
232,I,0.38,0.3,0.095,0.2615,0.1185,0.0575,0.075,6
233,I,0.315,0.23,0.07,0.144,0.059,0.0375,0.047,7
234,I,0.45,0.35,0.1,0.366,0.1385,0.095,0.109,7
235,I,0.41,0.325,0.1,0.3245,0.132,0.072,0.103,7
236,M,0.58,0.45,0.145,0.953,0.3935,0.2145,0.29,9
237,F,0.575,0.45,0.14,0.867,0.3935,0.1715,0.21,8
238,I,0.44,0.345,0.11,0.4965,0.258,0.1195,0.12,9
239,M,0.57,0.45,0.14,0.974,0.3685,0.2075,0.27,14
240,M,0.71,0.565,0.19,1.938,0.8835,0.4825,0.575,11
241,I,0.365,0.27,0.1,0.2155,0.0915,0.0475,0.085,7
242,I,0.495,0.375,0.135,0.6245,0.3265,0.1295,0.1525,8
243,I,0.255,0.19,0.06,0.086,0.04,0.014,0.025,6
244,I,0.58,0.445,0.14,0.8515,0.334,0.1935,0.251,10
245,F,0.58,0.46,0.155,1.0485,0.5405,0.2445,0.275,9
246,F,0.655,0.52,0.175,1.4435,0.7285,0.3075,0.375,12
247,M,0.535,0.41,0.13,0.7995,0.347,0.1565,0.21,8
248,F,0.64,0.52,0.22,1.3165,0.6765,0.2735,0.445,11
249,F,0.515,0.405,0.13,0.6965,0.3045,0.1815,0.167,10
250,F,0.5,0.39,0.145,0.5635,0.248,0.127,0.155,8
251,F,0.565,0.45,0.165,0.9265,0.3715,0.1725,0.355,14
252,I,0.395,0.295,0.11,0.293,0.14,0.0625,0.092,7
253,F,0.635,0.52,0.18,1.2895,0.4865,0.2985,0.45,17
254,I,0.48,0.355,0.115,0.456,0.21,0.113,0.128,8
255,I,0.505,0.395,0.135,0.549,0.245,0.1175,0.174,9
256,I,0.485,0.375,0.125,0.5135,0.2385,0.1165,0.17,8
257,M,0.47,0.355,0.125,0.475,0.197,0.1075,0.15,9
258,M,0.48,0.385,0.155,0.6335,0.2,0.1275,0.225,12
259,F,0.595,0.48,0.16,1.0475,0.4615,0.2025,0.276,10
260,I,0.38,0.305,0.115,0.284,0.1335,0.0655,0.0935,8
261,M,0.435,0.345,0.11,0.45,0.2475,0.0815,0.125,7
262,I,0.55,0.43,0.155,0.8645,0.419,0.1965,0.2175,9
263,M,0.47,0.375,0.125,0.507,0.232,0.1205,0.16,9
264,F,0.655,0.52,0.18,1.38,0.5115,0.306,0.47,13
265,F,0.66,0.53,0.18,1.3915,0.726,0.302,0.42,10
266,M,0.64,0.515,0.155,1.1955,0.5565,0.2095,0.4,10
267,I,0.25,0.185,0.065,0.074,0.0295,0.014,0.0225,5
268,M,0.66,0.525,0.16,1.2495,0.5675,0.2795,0.3185,10
269,F,0.66,0.505,0.18,1.5515,0.6625,0.3575,0.49,14
270,I,0.565,0.415,0.145,0.681,0.3095,0.126,0.1605,8
271,I,0.52,0.38,0.13,0.524,0.2705,0.0935,0.1575,9
272,F,0.625,0.46,0.165,1.027,0.4755,0.1965,0.2825,9
273,F,0.585,0.45,0.14,0.8145,0.3475,0.1905,0.26,11
274,F,0.5,0.39,0.165,0.8085,0.3395,0.1765,0.255,13
275,I,0.515,0.425,0.135,0.8145,0.4165,0.1435,0.255,9
276,M,0.395,0.3,0.12,0.3485,0.1495,0.086,0.095,9
277,I,0.53,0.405,0.13,0.6385,0.3015,0.1405,0.171,8
278,M,0.575,0.47,0.14,0.963,0.486,0.224,0.2755,9
279,M,0.575,0.465,0.155,1.155,0.5455,0.261,0.3245,9
280,I,0.455,0.35,0.115,0.4475,0.2365,0.0915,0.13,7
281,F,0.58,0.465,0.145,0.9905,0.453,0.242,0.275,11
282,M,0.665,0.525,0.19,1.496,0.6975,0.3725,0.4115,11
283,M,0.52,0.435,0.16,0.872,0.3245,0.2315,0.259,11
284,F,0.565,0.495,0.18,1.185,0.3965,0.2585,0.39,15
285,I,0.605,0.475,0.145,0.9235,0.4145,0.195,0.2705,11
286,I,0.55,0.445,0.15,0.8115,0.3945,0.171,0.24,9
287,M,0.5,0.39,0.125,0.5955,0.2555,0.1265,0.19,8
288,I,0.3,0.215,0.075,0.1115,0.048,0.0205,0.03,6
289,I,0.21,0.15,0.04,0.0265,0.009,0.005,0.0095,4
290,I,0.53,0.415,0.145,0.783,0.2945,0.158,0.245,11
291,M,0.59,0.465,0.165,1.1005,0.506,0.2525,0.295,13
292,I,0.305,0.22,0.07,0.1535,0.074,0.0395,0.035,7
293,F,0.41,0.305,0.105,0.359,0.173,0.0705,0.1175,16
294,M,0.57,0.44,0.14,0.858,0.407,0.1985,0.2245,10
295,M,0.62,0.47,0.17,1.3475,0.4995,0.2565,0.49,12
296,M,0.28,0.21,0.06,0.1045,0.034,0.0285,0.03,5
297,I,0.46,0.355,0.105,0.467,0.19,0.11,0.159,8
298,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.055,7
299,M,0.61,0.485,0.155,1.053,0.457,0.2365,0.285,8
300,M,0.64,0.495,0.175,1.3205,0.667,0.3115,0.336,9
301,I,0.255,0.19,0.07,0.084,0.0275,0.014,0.0285,4
302,M,0.6,0.465,0.125,1.011,0.3835,0.2065,0.255,15
303,M,0.59,0.5,0.16,1.063,0.414,0.216,0.375,20
304,I,0.37,0.275,0.11,0.2305,0.098,0.045,0.065,7
305,I,0.555,0.425,0.15,0.8685,0.391,0.1625,0.2415,8
306,M,0.625,0.475,0.175,1.247,0.4335,0.2435,0.47,13
307,F,0.44,0.32,0.13,0.4405,0.152,0.0955,0.155,11
308,I,0.275,0.195,0.07,0.0935,0.037,0.0155,0.025,5
309,I,0.33,0.25,0.075,0.1895,0.079,0.0415,0.05,7
310,M,0.545,0.425,0.115,0.639,0.3065,0.1285,0.2,8
311,M,0.5,0.375,0.12,0.6345,0.2935,0.124,0.1615,9
312,I,0.42,0.3,0.09,0.2975,0.1265,0.0585,0.08,7
313,I,0.29,0.23,0.08,0.1385,0.056,0.0235,0.0395,5
314,M,0.595,0.455,0.145,0.9815,0.4615,0.1895,0.26,10
315,I,0.515,0.4,0.135,0.636,0.3035,0.1215,0.1755,8
316,I,0.415,0.325,0.1,0.4665,0.2025,0.1015,0.105,8
317,M,0.44,0.335,0.11,0.3835,0.177,0.073,0.1165,8
318,I,0.325,0.24,0.075,0.152,0.065,0.0305,0.044,6
319,F,0.5,0.375,0.125,0.5745,0.229,0.118,0.17,8
320,I,0.485,0.37,0.115,0.5195,0.216,0.1025,0.131,7
321,F,0.775,0.57,0.205,2.032,0.58,0.4075,0.625,20
322,F,0.695,0.56,0.165,1.74,0.8145,0.3905,0.4375,11
323,F,0.58,0.45,0.15,0.875,0.3335,0.2155,0.1935,10
324,M,0.57,0.42,0.14,0.873,0.4095,0.1625,0.223,8
325,F,0.57,0.44,0.145,0.9525,0.3445,0.1965,0.345,23
326,I,0.37,0.275,0.105,0.197,0.081,0.0425,0.08,9
327,F,0.6,0.495,0.18,1.247,0.4695,0.216,0.505,20
328,F,0.57,0.455,0.19,0.966,0.4445,0.1635,0.25,12
329,I,0.535,0.42,0.15,0.7665,0.347,0.134,0.2065,8
330,F,0.595,0.48,0.16,1.0815,0.5455,0.2225,0.315,9
331,M,0.52,0.4,0.14,0.6955,0.2795,0.161,0.2,10
332,F,0.695,0.56,0.185,1.5395,0.5885,0.3125,0.4675,12
333,M,0.575,0.45,0.17,1.066,0.4635,0.239,0.25,10
334,M,0.57,0.45,0.15,1.186,0.539,0.284,0.3305,10
335,M,0.595,0.465,0.13,0.9165,0.4135,0.1625,0.22,9
336,F,0.505,0.385,0.12,0.7085,0.2985,0.1605,0.1605,9
337,F,0.355,0.27,0.095,0.203,0.076,0.059,0.0635,6
338,M,0.62,0.51,0.175,1.325,0.5845,0.325,0.3,10
339,I,0.525,0.4,0.12,0.6905,0.3335,0.1395,0.1895,8
